ts_anchor,ts_target,past_pv,target
2025-03-02 17:30:00+08:00,2025-03-02 17:45:00+08:00,"[23372.0, 9805.667, 13357.667, 18751.334, 11227.333, 10196.667, 8394.0, 4781.6665]",1284.6666
2025-03-02 17:45:00+08:00,2025-03-02 18:00:00+08:00,"[9805.667, 13357.667, 18751.334, 11227.333, 10196.667, 8394.0, 4781.6665, 3624.0]",236.33333
2025-03-03 08:45:00+08:00,2025-03-03 09:00:00+08:00,"[48.0, 403.33334, 1806.6666, 3813.0, 5386.0, 3087.0, 8143.6665, 10039.667]",10880.0
2025-03-03 09:00:00+08:00,2025-03-03 09:15:00+08:00,"[403.33334, 1806.6666, 3813.0, 5386.0, 3087.0, 8143.6665, 10039.667, 19557.666]",8741.333
2025-03-03 09:15:00+08:00,2025-03-03 09:30:00+08:00,"[1806.6666, 3813.0, 5386.0, 3087.0, 8143.6665, 10039.667, 19557.666, 10880.0]",12120.667
2025-03-03 09:30:00+08:00,2025-03-03 09:45:00+08:00,"[3813.0, 5386.0, 3087.0, 8143.6665, 10039.667, 19557.666, 10880.0, 8741.333]",8586.0
2025-03-03 09:45:00+08:00,2025-03-03 10:00:00+08:00,"[5386.0, 3087.0, 8143.6665, 10039.667, 19557.666, 10880.0, 8741.333, 12120.667]",21773.334
2025-03-03 10:00:00+08:00,2025-03-03 10:15:00+08:00,"[3087.0, 8143.6665, 10039.667, 19557.666, 10880.0, 8741.333, 12120.667, 8586.0]",36260.668
2025-03-03 10:15:00+08:00,2025-03-03 10:30:00+08:00,"[8143.6665, 10039.667, 19557.666, 10880.0, 8741.333, 12120.667, 8586.0, 21773.334]",41801.332
2025-03-03 10:30:00+08:00,2025-03-03 10:45:00+08:00,"[10039.667, 19557.666, 10880.0, 8741.333, 12120.667, 8586.0, 21773.334, 36260.668]",39371.332
2025-03-03 10:45:00+08:00,2025-03-03 11:00:00+08:00,"[19557.666, 10880.0, 8741.333, 12120.667, 8586.0, 21773.334, 36260.668, 41801.332]",47578.668
2025-03-03 11:00:00+08:00,2025-03-03 11:15:00+08:00,"[10880.0, 8741.333, 12120.667, 8586.0, 21773.334, 36260.668, 41801.332, 39371.332]",15594.333
2025-03-03 11:15:00+08:00,2025-03-03 11:30:00+08:00,"[8741.333, 12120.667, 8586.0, 21773.334, 36260.668, 41801.332, 39371.332, 47578.668]",27655.334
2025-03-03 11:30:00+08:00,2025-03-03 11:45:00+08:00,"[12120.667, 8586.0, 21773.334, 36260.668, 41801.332, 39371.332, 47578.668, 15594.333]",25965.334
2025-03-03 11:45:00+08:00,2025-03-03 12:00:00+08:00,"[8586.0, 21773.334, 36260.668, 41801.332, 39371.332, 47578.668, 15594.333, 27655.334]",13685.333
2025-03-03 12:00:00+08:00,2025-03-03 12:15:00+08:00,"[21773.334, 36260.668, 41801.332, 39371.332, 47578.668, 15594.333, 27655.334, 25965.334]",30393.666
2025-03-03 12:15:00+08:00,2025-03-03 12:30:00+08:00,"[36260.668, 41801.332, 39371.332, 47578.668, 15594.333, 27655.334, 25965.334, 13685.333]",32800.332
2025-03-03 12:30:00+08:00,2025-03-03 12:45:00+08:00,"[41801.332, 39371.332, 47578.668, 15594.333, 27655.334, 25965.334, 13685.333, 30393.666]",28742.666
2025-03-03 12:45:00+08:00,2025-03-03 13:00:00+08:00,"[39371.332, 47578.668, 15594.333, 27655.334, 25965.334, 13685.333, 30393.666, 32800.332]",22475.666
2025-03-03 13:00:00+08:00,2025-03-03 13:15:00+08:00,"[47578.668, 15594.333, 27655.334, 25965.334, 13685.333, 30393.666, 32800.332, 28742.666]",20466.666
2025-03-03 13:15:00+08:00,2025-03-03 13:30:00+08:00,"[15594.333, 27655.334, 25965.334, 13685.333, 30393.666, 32800.332, 28742.666, 22475.666]",34378.332
2025-03-03 13:30:00+08:00,2025-03-03 13:45:00+08:00,"[27655.334, 25965.334, 13685.333, 30393.666, 32800.332, 28742.666, 22475.666, 20466.666]",38502.668
