date,start_time,end_time,is_clear_sky,pv_clear_sky,image_clear_sky,pv_r2,csi_mae,pv_mae_w,pv_rmse_w,mean_target_csi,min_target_csi,max_target_csi,n_pv_samples,n_image_samples,blue_fraction_mean,blue_fraction_p10,gray_fraction_mean,gray_fraction_p90,bright_white_fraction_mean,mean_saturation,mean_value,notes
2026-01-30,08:00,17:59,False,False,False,0.8643576041058474,0.03310481087352187,1343.8933256546998,1736.2950206182272,0.18614113997500048,0.06668317166501306,0.3314521260669883,35,20,0.009380664652567976,0.0,0.9958088437242516,0.9999230980499864,0.014333974182916782,0.03955300385132432,0.6346477448940278,auto rejected by SPM daily R2 or image color heuristic
2026-01-31,08:00,17:59,False,False,False,0.17795960057665705,0.0376760273044729,1571.5533950521167,2141.045858102288,0.15242724524378715,0.07397253356463257,0.22886810232897653,35,20,0.04190469651194727,0.009519362812414172,0.9609928591046417,0.9901263389178797,0.04774100521834661,0.053333201259374616,0.6306434631347656,auto rejected by SPM daily R2 or image color heuristic
2026-02-01,08:00,17:59,False,False,False,0.8722966424966458,0.06493130126029804,2572.5956476122765,3486.2288434803995,0.5060500020545646,0.24559279636044465,0.8630104848679232,35,20,0.2670131831914309,0.0008898654215874761,0.7654517989563308,1.0,0.052982697061246906,0.1499058088287711,0.6129024535417557,auto rejected by SPM daily R2 or image color heuristic
2026-02-02,08:00,17:59,True,True,True,0.988061616560858,0.01980448326218438,585.7291409519712,1214.1336518344515,0.6726777161678089,0.4398786754631937,0.7832911457723398,36,20,0.5498393298544355,0.44181268882175223,0.4946484482285086,0.6077478714638835,0.07538862949739082,0.2447829343378544,0.5804543823003769,auto clear sky by SPM daily R2 and image color heuristic
2026-02-03,08:00,17:59,False,False,False,0.5646747566292671,0.11506643516671561,5035.0926893243,6864.5618882826375,0.40927086751830744,0.13355123572785776,0.6889523063988552,36,20,0.19438341115078278,0.0001318319143092557,0.8414638835484756,1.0,0.06584454820104366,0.1130013756453991,0.5936865657567978,auto rejected by SPM daily R2 or image color heuristic
2026-02-04,08:00,17:59,False,False,True,0.919551783068404,0.0475615916072885,1833.5490457369901,3435.5042506337886,0.5937331366249134,0.23456440896537337,0.763455325132667,35,20,0.4944026366382862,0.021161768744850318,0.540098873935732,0.9915160670145564,0.06343724251579237,0.2296029781922698,0.5913268685340881,auto rejected by SPM daily R2 or image color heuristic
2026-02-05,08:00,17:59,False,False,True,0.8971087864867555,0.06447556001429165,2601.081617673864,3376.539747942529,0.5938407135340773,0.3984882645172828,0.759558917617265,36,20,0.4262537764350453,0.06796484482285088,0.6167893435869266,0.9618319143092557,0.07284125240318594,0.22785490825772287,0.5848397016525269,auto rejected by SPM daily R2 or image color heuristic
2026-02-06,08:00,17:59,False,False,True,0.9435948614996742,0.04126438027541951,1444.9984390950933,2787.3822631422454,0.6013473665164459,0.3469618598233224,0.7532160756887235,36,20,0.4860024718483933,0.25474045591870365,0.5535786871738533,0.7762757484207636,0.06761329305135952,0.2210140336304903,0.580791386961937,auto rejected by SPM daily R2 or image color heuristic
2026-02-07,08:00,17:59,False,False,False,0.8103132177764231,0.01986624699200913,704.2078973344026,1123.7371233519784,0.09647599831389071,0.024245269412967535,0.2761237925238509,34,20,0.015755287009063444,0.0,0.9830870639934085,1.0,0.03092694314748695,0.041597719117999074,0.6301380813121795,auto rejected by SPM daily R2 or image color heuristic
2026-02-08,08:00,17:59,False,False,False,0.9137672219158988,0.043200277133781335,1792.0707498622776,2572.227844877598,0.3119128466161415,0.12441517570646182,0.5832654322425485,36,20,0.09668909640208734,0.0,0.9154449327107939,1.0,0.05041334798132381,0.075758115388453,0.6121771544218063,auto rejected by SPM daily R2 or image color heuristic
2026-02-09,08:00,17:59,False,False,False,0.696015598692757,0.05810390666860794,2201.1120690693588,3267.800933981265,0.25284457015229156,0.10993833027147773,0.5713143176516544,36,20,0.05382724526229058,0.0,0.956748146113705,1.0,0.03444932710793738,0.0639588650316,0.6240723907947541,auto rejected by SPM daily R2 or image color heuristic
2026-02-10,08:00,17:59,False,False,False,0.835659382223104,0.0326127889437575,1238.6679103271745,1575.9462340797704,0.24079130941252147,0.11730039726346511,0.4177045651503964,36,20,0.10449327107937378,0.0,0.9047885196374624,1.0,0.020076901950013732,0.07564673703163863,0.6285608440637589,auto rejected by SPM daily R2 or image color heuristic
2026-02-11,08:00,17:59,True,True,True,0.9888713444777315,0.02028620709947937,760.533732533754,1143.8623270165217,0.6569274374790609,0.39456384709041636,0.7533613866177289,36,20,0.56423235374897,0.4748640483383686,0.48251441911562754,0.5679071683603406,0.06270255424333973,0.2508380226790905,0.5722148925065994,auto clear sky by SPM daily R2 and image color heuristic
